pueblos, centrales, tiempo
50700, 12001, 37180000
50700, 15001, 37050000
50700, 18001, 37380000
50700, 21001, 37250000
50700, 24001, 37250000
50700, 27001, 37390000
50700, 30001, 36860000
50700, 33001, 37460000
50700, 36001, 37300000
50700, 39001, 36840000
50700, 42001, 37150000
50700, 45001, 37340000
50700, 48001, 37430000
50700, 51001, 37090000
50700, 54001, 36920000
50700, 57001, 36940000
50700, 60001, 37270000
50700, 63001, 37050000
50700, 66001, 37240000
50700, 69001, 37540000
50700, 72001, 36820000
50700, 75001, 37320000
50700, 78001, 37300000
50700, 81001, 36580000
50700, 84001, 36900000
50700, 87001, 37040000
50700, 90001, 37090000
50700, 93001, 37330000
50700, 96001, 37140000
50700, 99001, 37210000
50800, 1, 37460000
50800, 3001, 37520000
50800, 6001, 37590000
50800, 9001, 37470000
50800, 12001, 37820000
50800, 15001, 37230000
50800, 18001, 37510000
50800, 21001, 37080000
50800, 24001, 37250000
50800, 27001, 37280000
50800, 30001, 37350000
50800, 33001, 37000000
50800, 36001, 37580000
50800, 39001, 37310000
50800, 42001, 36870000
50800, 45001, 37630000
50800, 48001, 37400000
50800, 51001, 37130000
50800, 54001, 37380000
50800, 57001, 37570000
50800, 60001, 37470000
50800, 63001, 37590000
50800, 66001, 37440000
50800, 69001, 37090000
50800, 72001, 37950000
50800, 75001, 37810000
50800, 78001, 37760000
50800, 81001, 37640000
50800, 84001, 37270000
50800, 87001, 37140000
50800, 90001, 37440000
50800, 93001, 37140000
50800, 96001, 37290000
50800, 99001, 37890000
50900, 1, 37560000
50900, 3001, 37020000
50900, 6001, 37530000
50900, 9001, 37010000
50900, 12001, 37460000
50900, 15001, 37380000
50900, 18001, 37320000
50900, 21001, 37200000
50900, 24001, 37560000
50900, 27001, 37520000
50900, 30001, 37320000
50900, 33001, 37610000
50900, 36001, 36880000
50900, 39001, 37020000
50900, 42001, 37360000
50900, 45001, 37560000
50900, 48001, 36770000
50900, 51001, 37450000
50900, 54001, 37490000
50900, 57001, 37130000
50900, 60001, 37600000
50900, 63001, 37410000
50900, 66001, 37470000
50900, 69001, 37420000
50900, 72001, 37530000
50900, 75001, 37630000
50900, 78001, 37550000
50900, 81001, 37480000
50900, 84001, 37540000
50900, 87001, 37920000
50900, 90001, 37460000
50900, 93001, 37160000
50900, 96001, 37570000
50900, 99001, 36820000
51000, 1, 37720000
51000, 3001, 37560000
51000, 6001, 37480000
51000, 9001, 37560000
51000, 12001, 37760000
51000, 15001, 37660000
51000, 18001, 37270000
51000, 21001, 37130000
51000, 24001, 37120000
51000, 27001, 37610000
51000, 30001, 37730000
51000, 33001, 37460000
51000, 36001, 37330000
51000, 39001, 37700000
51000, 42001, 37630000
51000, 45001, 37160000
51000, 48001, 37510000
51000, 51001, 37460000
51000, 54001, 37550000
51000, 57001, 37380000
51000, 60001, 37050000
51000, 63001, 37600000
51000, 66001, 37850000
51000, 69001, 37310000
51000, 72001, 37130000
51000, 75001, 37660000
51000, 78001, 37260000
51000, 81001, 37540000
51000, 84001, 37580000
51000, 87001, 37420000
51000, 90001, 37520000
51000, 93001, 37700000
51000, 96001, 37410000
51000, 99001, 37510000
51100, 1, 37750000
51100, 3001, 37830000
51100, 6001, 37570000
51100, 9001, 37640000
51100, 12001, 37410000
51100, 15001, 37740000
51100, 18001, 37780000
51100, 21001, 37930000
51100, 24001, 37900000
51100, 27001, 37710000
51100, 30001, 37790000
51100, 33001, 37830000
51100, 36001, 37900000
51100, 39001, 37370000
51100, 42001, 37820000
51100, 45001, 38090000
51100, 48001, 37960000
51100, 51001, 37590000
51100, 54001, 37600000
51100, 57001, 37340000
51100, 60001, 37810000
